procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0    125     15    441    0    0     0     0 1544 23070 14  6 79  0  0
 0  0      0    125     15    441    0    0     0    20 1531 28022 15 12 73  0  0
 0  0      0    125     15    441    0    0     0     0  891 9661  5  1 94  0  0
 0  0      0    125     15    441    0    0     0     0  375 3347  2  1 97  0  0
 0  0      0    125     15    441    0    0     0     0  708 7251  3  2 95  0  0
 0  0      0    125     15    441    0    0     0     0  411 12447  7  3 90  0  0
 0  0      0    125     15    441    0    0     0     0  757 12495  8  2 90  0  0
 0  0      0    125     15    441    0    0     0     0 1622 12893  6  7 87  0  0
 0  0      0    125     15    441    0    0     0     0 1187 8420  3  4 93  0  0
 2  0      0    125     15    441    0    0     0     0  607 11195  5  4 91  0  0
 1  0      0    125     15    441    0    0     0     0  371 3898  2  1 97  0  0
 0  0      0    125     15    441    0    0     0     4  541 10535  3  5 92  0  0
 0  0      0    125     15    441    0    0     0     0 1104 42211 29  9 61  0  1
 0  0      0    125     15    441    0    0     0     0 2817 15769  6  9 85  0  0
 0  0      0    125     15    441    0    0     0     0 2266 14188  8  5 87  0  0
 2  0      0    125     15    441    0    0     0     0  766 23897 14  7 79  0  0
 0  0      0    125     15    441    0    0     0     0  435 19079  7  6 87  0  0
 0  0      0    125     15    441    0    0     0    20  507 15721  5  7 88  0  0
 0  0      0    125     15    441    0    0     0     0 1643 10388  7  3 90  0  0
 0  0      0    125     15    441    0    0     0     0  687 4484  2  1 97  0  0
 0  0      0    125     15    441    0    0     0     0 4845 18534 10  9 81  0  0
 2  0      0    125     15    441    0    0     0     0 3162 11671  6  5 89  0  0
 0  0      0    125     15    441    0    0     0     0 6320 24102 15  9 76  0  0
 0  0      0    125     15    441    0    0     0     0 5059 20423 10 12 78  0  0
 4  0      0    125     15    441    0    0     0     0 5341 24112 13  9 78  0  0
 0  0      0    125     15    441    0    0     0     0 2767 11231  6  6 88  0  0
 0  0      0    125     15    441    0    0     0     0 2536 10012  4  5 91  0  0
 3  0      0    125     15    441    0    0     0     0 2653 10130  8  3 89  0  0
 0  0      0    125     15    441    0    0     0     0 8198 30505 20 13 67  0  0
 0  0      0    125     15    441    0    0     0     0 8898 35210 17 17 66  0  0
 0  0      0    125     15    441    0    0     0     0 2536 9240  7  4 89  0  0
 0  0      0    125     15    441    0    0     0    16 4060 15209  7  7 86  0  0
 0  0      0    125     15    441    0    0     0     0  903 3666  2  1 97  0  0
 3  0      0    125     15    441    0    0     0     0 3436 12913  9  6 85  0  0
 0  0      0    125     15    441    0    0     0     0 5903 24344 13 10 77  0  0
 0  0      0    125     15    441    0    0     0     0 4346 16977  5 10 85  0  0
 0  0      0    125     15    441    0    0     0     0 6551 24795 15  9 76  0  0
 2  0      0    125     15    441    0    0     0     0 4826 18226 12  8 80  0  0
 0  0      0    125     15    441    0    0     0     0 2658 9999  5  3 92  0  0
 4  0      0    125     15    441    0    0     0     0 6487 26242 14 11 75  0  0
 0  0      0    125     15    441    0    0     0     0 2419 11171  7  4 88  0  1
 0  0      0    123     15    441    0    0     0     8 3035 13657  8  4 88  0  0
 3  0      0    123     15    441    0    0     0     0 3632 17459  9 10 81  0  0
 0  0      0    123     15    441    0    0     0     0 4623 23513 10 10 80  0  0
 0  0      0    123     15    441    0    0     0     0 2245 9385  7  2 91  0  0
 3  0      0    123     15    441    0    0     0     0 1937 8769  4  4 92  0  0
 0  0      0    123     15    441    0    0     0     8 4051 17006  9  6 85  0  0
 0  0      0    123     15    441    0    0     0    48 2800 10121  7  3 90  0  0
 4  0      0    123     15    441    0    0     0     0 5022 21871 11 11 78  0  0
 0  0      0    123     15    441    0    0     0     0 5957 24870 10 15 75  0  0
 0  0      0    123     15    441    0    0     0     0 3385 14164  7  5 88  0  0
 3  0      0    123     15    441    0    0     0    28 4178 16924 10  8 82  0  0
 0  0      0    123     15    441    0    0     0     0 4670 19640 10  8 82  0  0
 0  0      0    123     15    441    0    0     0     0 4382 19536 10  9 81  0  0
 4  0      0    123     15    441    0    0     0     0 2165 9006  4  5 91  0  0
 0  0      0    123     15    441    0    0     0     0 3714 16983  8  6 86  0  0
 0  0      0    123     15    441    0    0     0     0 1736 6694  4  3 93  0  0
 3  0      0    123     15    441    0    0     0     0 1781 6731  5  3 92  0  0
 3  0      0    123     15    441    0    0     0     0 7550 33885 19 14 66  0  1
 0  0      0    123     15    441    0    0     0     0 4146 17194  6  9 85  0  0
 0  0      0    123     15    441    0    0     0     0 3007 12658  7  6 87  0  0
 0  0      0    123     15    441    0    0     0    16 6904 26537 14 13 73  0  0
 0  0      0    123     15    441    0    0     0     0 4948 19000  7 11 82  0  0
 0  0      0    123     15    441    0    0     0     0 1932 7290  5  2 93  0  0
 0  0      0    123     15    441    0    0     0     0 5773 22986 13 11 76  0  0
 0  0      0    123     15    441    0    0     0     0 11875 46624 26 23 51  0  0
 0  0      0    123     15    441    0    0     0     0 9897 40726 20 21 59  0  0
 0  0      0    123     15    441    0    0     0     0 3975 15337  9  6 85  0  0
 0  0      0    123     15    441    0    0     0     0 2993 11487  7  5 88  0  0
 0  0      0    123     15    441    0    0     0     0 2843 11231  4  7 89  0  0
 0  0      0    123     15    441    0    0     0     0 5537 20514 12  7 81  0  0
 0  0      0    123     15    441    0    0     0     0 3928 15903  7  9 84  0  0
 0  0      0    123     15    441    0    0     0     0 3363 13097  9  4 87  0  0
 0  0      0    123     15    441    0    0     0     0 1078 3811  3  1 96  0  0
 0  0      0    123     15    441    0    0     0     0 2798 11361  5  5 90  0  0
 1  0      0    123     15    441    0    0     0     0 6390 24489 14 11 75  0  0
 3  0      0    123     15    441    0    0     0     4 3733 14059  6  7 87  0  0
 0  0      0    123     15    441    0    0     0    20 11556 44943 28 19 53  0  0
 0  0      0    123     15    441    0    0     0     0 3368 13302  6  7 87  0  0
 2  0      0    123     15    441    0    0     0     0 9294 35303 21 15 64  0  0
 0  0      0    123     15    441    0    0     0     0 1785 6501  2  5 93  0  0
 0  0      0    123     15    441    0    0     0     8 2769 10334  8  3 89  0  0
 4  0      0    123     15    441    0    0     0     0 5398 21501 11  9 80  0  0
 0  0      0    123     15    441    0    0     0     0 1784 6854  3  5 92  0  0
 0  0      0    123     15    441    0    0     0     0  160  377  0  0 100  0  0
 0  0      0    123     15    441    0    0     0     0  201  761  0  0 100  0  0
 0  0      0    123     15    441    0    0     0     0  171  642  0  0 100  0  0
 0  0      0    123     15    441    0    0     0     0  161  708  0  0 100  0  0
 0  0      0    123     15    441    0    0     0     0  167  666  0  0 100  0  0
 0  0      0    123     15    441    0    0     0     0  196  754  0  0 100  0  0
 0  0      0    123     15    441    0    0     0     0  164  667  0  0 99  0  1
 0  0      0    122     15    441    0    0     0    16  183  732  0  1 99  0  0
 0  0      0    122     15    441    0    0     0     0  178  658  1  0 99  0  0
 0  0      0    121     15    442    0    0     0     0  238  819  5  1 94  0  0
 0  0      0    117     15    442    0    0     0     0  232  610  0  1 99  0  0
 0  0      0    121     15    442    0    0     0     0  255  874 14  6 80  0  0
 0  0      0    121     15    442    0    0     0     0  171  676  0  0 100  0  0
