procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0    167     14    434    0    0     0     0  599 4178  2  1 97  0  0
 2  0      0    167     14    434    0    0     0     0 1431 9662  4  4 92  0  0
 0  0      0    167     14    434    0    0     0     0 1419 11675  7  2 91  0  0
 0  0      0    167     14    434    0    0     0     0  425 3300  0  2 98  0  0
 2  0      0    167     14    434    0    0     0     0  609 3114  3  1 96  0  0
 0  0      0    167     14    434    0    0     0    40  402 2328  1  0 99  0  0
 0  0      0    167     14    434    0    0     0     0 1540 14806  6  6 88  0  0
 0  0      0    167     14    434    0    0     0     0 1192 8887  6  1 93  0  0
 0  0      0    167     14    434    0    0     0     4  603 5630  3  2 95  0  0
 0  0      0    167     14    434    0    0     0     0  912 9775  6  1 93  0  0
 4  0      0    167     14    434    0    0     0     0  932 5336  3  2 94  0  1
 0  0      0    167     14    434    0    0     0     0 1238 10273  5  3 92  0  0
 0  0      0    167     14    434    0    0     0     0  988 8756  6  1 93  0  0
 0  0      0    167     14    434    0    0     0     4 1263 10444  7  3 90  0  0
 0  0      0    167     14    434    0    0     0     0  655 5242  3  1 96  0  0
 0  0      0    167     14    434    0    0     0     0  635 3743  1  2 97  0  0
 3  0      0    167     14    434    0    0     0     0 3465 22775 20  7 73  0  0
 0  0      0    167     14    434    0    0     0     0 2119 14050  7  5 88  0  0
 0  0      0    167     14    434    0    0     0     0 1352 7397  4  4 92  0  0
 2  0      0    167     14    434    0    0     0     0  523 2705  2  0 98  0  0
 0  0      0    167     14    434    0    0     0     0 2577 15015 12  4 84  0  0
 0  0      0    167     14    434    0    0     0     0 1506 9946  5  3 92  0  0
 3  0      0    167     14    434    0    0     0     0  982 8839  6  3 91  0  0
 0  0      0    167     14    434    0    0     0     0 1198 9412  4  3 93  0  0
 0  0      0    167     14    434    0    0     0     0 1106 6764  5  2 93  0  0
 0  0      0    167     14    434    0    0     0     0 2885 17511  6  9 85  0  0
 0  0      0    167     14    434    0    0     0     0  774 4222  1  1 98  0  0
 0  0      0    167     14    434    0    0     0     0  739 4643  3  2 95  0  0
 0  0      0    167     14    434    0    0     0    20  416 3168  1  1 98  0  0
 0  0      0    167     14    434    0    0     0     0 1037 6221  2  3 95  0  0
 0  0      0    167     14    434    0    0     0     0  994 4993  3  2 95  0  0
 0  0      0    167     14    434    0    0     0     0  996 8031  2  3 95  0  0
 0  0      0    167     14    434    0    0     0     0 1129 8720  5  2 93  0  0
 0  0      0    167     14    434    0    0     0     0  322  848  2  1 97  0  0
 0  0      0    167     14    434    0    0     0     0  942 5655  2  1 97  0  0
 0  0      0    167     14    434    0    0     0     0  352 1341  1  0 99  0  0
 0  0      0    167     14    434    0    0     0    20 2653 18311  9  7 83  1  0
 0  0      0    167     14    434    0    0     0     0 2207 12984  8  4 88  0  0
 0  0      0    167     14    434    0    0     0    20  710 4561  1  4 94  0  1
 0  0      0    167     14    434    0    0     0     0 1610 13357  7  3 90  0  0
 0  0      0    167     14    434    0    0     0     0 1342 10625  4  5 91  0  0
 0  0      0    167     14    434    0    0     0     0 1631 9820  5  4 91  0  0
 0  0      0    167     14    434    0    0     0     0 1153 6178  3  3 94  0  0
 0  0      0    167     14    434    0    0     0     0  428 2520  0  1 99  0  0
 0  0      0    167     14    434    0    0     0     0  490 2513  1  1 98  0  0
 0  0      0    167     14    434    0    0     0     0 1092 8596  4  3 93  0  0
 0  0      0    167     14    434    0    0     0     0  583 2883  2  0 98  0  0
 0  0      0    167     14    434    0    0     0     0 1716 16544  7  8 85  0  0
 0  0      0    167     14    434    0    0     0     4  687 6928  3  1 96  0  0
 0  0      0    167     14    434    0    0     0     0  718 10947  5  3 92  0  0
 0  0      0    167     14    434    0    0     0     0  409 2141  3  0 97  0  0
 0  0      0    167     14    434    0    0     0     0  647 6400  4  0 96  0  0
 0  0      0    167     14    434    0    0     0     0 1754 11617  5  6 89  0  0
 0  0      0    167     14    434    0    0     0     0 1341 15993  9  6 85  0  0
 0  0      0    167     14    434    0    0     0     0  749 4363  5  0 95  0  0
 0  0      0    167     14    434    0    0     0     0  634 7291  2  2 96  0  0
 0  0      0    167     14    434    0    0     0     0  550 4241  2  2 95  0  1
 0  0      0    167     14    434    0    0     0     0  429 4398  1  2 97  0  0
 0  0      0    167     14    434    0    0     0    16 1046 8515  4  2 94  0  0
 0  0      0    167     14    434    0    0     0     0 1540 11772  6  4 90  0  0
 0  0      0    165     14    434    0    0     0     0 1069 7960  5  2 93  0  0
 1  0      0    165     14    434    0    0     0     0  458 2869  2  0 98  0  0
 0  0      0    165     14    434    0    0     0     0 1526 9941  6  3 91  0  0
 0  0      0    165     14    434    0    0     0     8  865 7333  3  1 96  0  0
 0  0      0    165     14    434    0    0     0     0 1115 9315  4  4 92  0  0
 0  0      0    165     14    434    0    0     0     0  690 4037  2  1 97  0  0
 0  0      0    165     14    434    0    0     0    32 1609 10540  5  4 91  0  0
 0  0      0    165     14    434    0    0     0     0  912 7434  3  2 95  0  0
 0  0      0    165     14    434    0    0     0     0  668 5978  3  1 96  0  0
 1  0      0    165     14    434    0    0     0     0  535 3839  1  1 98  0  0
 0  0      0    165     14    434    0    0     0     0  932 6881  3  4 93  0  0
 0  0      0    165     14    434    0    0     0     0  789 6812  2  2 96  0  0
 0  0      0    165     14    434    0    0     0     0  539 2734  4  1 95  0  0
 0  0      0    165     14    434    0    0     0     0  701 5779  2  2 96  0  0
 0  0      0    165     14    434    0    0     0     0 1800 15604  7  5 88  0  0
 0  0      0    165     14    434    0    0     0     0  791 9307  7  4 89  0  0
 0  0      0    165     14    434    0    0     0     0  888 6443  2  3 95  0  0
 0  0      0    165     14    434    0    0     0     0  775 6080  3  1 96  0  0
 0  0      0    165     14    434    0    0     0     0  824 5491  3  1 96  0  0
 0  0      0    165     14    434    0    0     0     0  927 8312  4  3 93  0  0
 0  0      0    165     14    434    0    0     0     0  627 4091  0  2 98  0  0
 0  0      0    165     14    434    0    0     0     0  632 4848  2  2 96  0  0
 0  0      0    165     14    434    0    0     0     0 1138 8671 15  1 84  0  0
 0  0      0    165     14    434    0    0     0     4 1370 8501  8  2 90  0  0
 0  0      0    165     14    434    0    0     0     0  634 6610  3  1 96  0  0
 0  0      0    165     14    434    0    0     0     0 1631 11339  6  4 90  0  0
 3  0      0    165     14    434    0    0     0     0 1190 11457  6  2 91  0  1
 0  0      0    165     14    434    0    0     0     0  425 2878  1  1 98  0  0
 0  0      0    165     14    434    0    0     0    16  663 5921  2  3 95  0  0
 1  0      0    165     14    434    0    0     0     0 1338 13916  7  4 89  0  0
 0  0      0    165     14    434    0    0     0     0 2545 20798 13  7 80  0  0
 0  0      0    165     14    434    0    0     0     0  771 8304  4  1 95  0  0
 0  0      0    165     14    434    0    0     0     0  645 5511  3  0 97  0  0
 0  0      0    165     14    434    0    0     0     0  619 6912  4  2 94  0  0
 0  0      0    165     14    434    0    0     0     0  429 2847  1  1 98  0  0
 0  0      0    165     14    434    0    0     0     0  995 12043  5  3 92  0  0
 0  0      0    165     14    434    0    0     0    20  683 8158  3  3 94  0  0
 0  0      0    165     14    434    0    0     0     0  410 2207  1  1 98  0  0
 0  0      0    165     14    434    0    0     0    16  551 3280  1  1 98  0  0
